Date,City,Country,Venue,Opening acts,Attendance,Revenue
"April 23, 2009",Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler","7,463 / 7,463","$360,617"
"April 24, 2009",Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler","7,822 / 7,822","$340,328"
"April 25, 2009",St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler","13,764 / 13,764","$650,420"
"April 28, 2009",Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",—,—
"April 30, 2009",North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler","8,751 / 8,751","$398,154"
"May 1, 2009",Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler","11,072 / 11,072","$507,012"
"May 2, 2009",Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler","9,436 / 9,436","$437,313"
"May 6, 2009",London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328"
"May 7, 2009",London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328"
"May 14, 2009",Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler","10,798 / 10,798","$482,146"
"May 15, 2009",Seattle,United States,KeyArena,"Gloriana
Kellie Pickler","12,061 / 12,061","$528,637"
"May 16, 2009",Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler","13,226 / 13,226","$613,284"
"May 17, 2009",Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler","8,970 / 8,970","$413,622"
"May 21, 2009",Glendale,United States,Jobing.com Arena,"Gloriana
Kellie Pickler","13,052 / 13,052","$647,923"
"May 22, 2009",Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","13,648 / 13,648","$720,940"
"May 23, 2009",Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler","8,311 / 8,311","$551,051"
"May 24, 2009",San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler","10,174 / 10,174","$502,689"
"May 26, 2009",Salt Lake City,United States,EnergySolutions Arena,"Gloriana
Kellie Pickler","13,042 / 13,042","$555,207"
"June 4, 2009",New Brockton,United States,BamaJam Farms,—,—,—
"June 11, 2009",Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler","17,619 / 17,619","$608,438"
"June 12, 2009",Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler","14,641 / 14,641","$690,959"
"June 24, 2009",Oshkosh,United States,Ford Festival Park,—,—,—
"June 25, 2009",Cadott,United States,Amphitheatre Concert Grounds,—,—,—
"July 8, 2009",Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",—,—
"July 9, 2009",Edmonton,Canada,Rexall Place,—,"33,910 / 44,500","$2,540,906"
"July 10, 2009",Craven,Canada,Big Valley Park,—,—,—
"July 11, 2009",Winnipeg,Canada,MTS Centre,"Gloriana
Kellie Pickler","11,369 / 11,369","$512,487"
"July 16, 2009",Twin Lakes,United States,Country Thunder Festival,—,—,—
"July 17, 2009",Columbus,United States,Value City Arena,"Gloriana
Kellie Pickler",—,—
"July 18, 2009",Charleston,United States,Charleston Civic Center,"Gloriana
Kellie Pickler",—,—
"July 23, 2009",Cheyenne,United States,Cheyenne Frontier Days Arena,Kellie Pickler,—,—
"July 24, 2009",Rapid City,United States,Barnett Arena,"Gloriana
Kellie Pickler",—,—
"July 25, 2009",Minot,United States,North Dakota State Fair Grandstand,—,—,—
"August 1, 2009",Philadelphia,United States,Wachovia Spectrum,"Gloriana
Kellie Pickler",—,—
"August 7, 2009",Detroit Lakes,United States,Soo Pass Ranch,"Brooks & Dunn
Craig Morgan",—,—
"August 9, 2009",Omaha,United States,Qwest Center Omaha,"Gloriana
Kellie Pickler",—,—
"August 22, 2009",Chelmsford,England,Hylands Park,—,—,—
"August 23, 2009",Weston-under-Lizard,England,Weston Park,—,—,—
"August 27, 2009",New York City,United States,Madison Square Garden,"Gloriana
Kellie Pickler","13,597 / 13,597","$976,062"
"August 28, 2009",Uncasville,United States,Mohegan Sun Arena,"Gloriana
Kellie Pickler","7,507 / 7,507","$296,306"
"August 29, 2009",University Park,United States,Bryce Jordan Center,"Gloriana
Kellie Pickler",—,—
"August 30, 2009",Louisville,United States,Freedom Hall,"Gloriana
Kellie Pickler",—,—
"September 3, 2009",Duluth,United States,Arena at Gwinnett Center,"Gloriana
Kellie Pickler",—,—
"September 4, 2009",Greenville,United States,Bi-Lo Center,"Gloriana
Kellie Pickler",—,—
"September 5, 2009",Charlotte,United States,Time Warner Cable Arena,"Gloriana
Kellie Pickler",—,—
"September 9, 2009",Lafayette,United States,Cajundome,"Gloriana
Kellie Pickler",—,—
"September 10, 2009",Bossier City,United States,CenturyTel Center,"Gloriana
Kellie Pickler",—,—
"September 11, 2009",Birmingham,United States,BJCC Arena,"Gloriana
Kellie Pickler",—,—
"September 12, 2009",Nashville,United States,Bridgestone Arena,"Gloriana
Kellie Pickler","14,269 / 14,269","$642,387"
"September 25, 2009",Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler","13,794 / 13,794","$628,062"
"September 26, 2009",North Little Rock,United States,Verizon Arena,"Gloriana
Kellie Pickler","13,978 / 13,978","$654,089"
"September 27, 2009",Tulsa,United States,BOK Center,"Gloriana
Kellie Pickler",—,—
"October 1, 2009",Pittsburgh,United States,Mellon Arena,"Gloriana
Kellie Pickler",—,—
"October 2, 2009",Grand Rapids,United States,Van Andel Arena,"Gloriana
Kellie Pickler",—,—
"October 3, 2009",Cleveland,United States,Quicken Loans Arena,"Gloriana
Kellie Pickler","15,524 / 15,524","$743,492"
"October 8, 2009",Indianapolis,United States,Conseco Fieldhouse,"Gloriana
Kellie Pickler","13,373 / 13,373","$634,876"
"October 9, 2009",Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler","26,265 / 26,265","$1,150,896"
"October 10, 2009",Rosemont,United States,Allstate Arena,"Gloriana
Kellie Pickler","26,265 / 26,265","$1,150,896"
"October 11, 2009",Minneapolis,United States,Target Center,"Gloriana
Kellie Pickler","13,563 / 13,563","$623,975"
"November 23, 2009",London,England,Wembley Arena,Justin Bieber,—,—
"November 24, 2009",Manchester,England,Manchester Evening News Arena,Justin Bieber,—,—
"February 4, 2010",Brisbane,Australia,Brisbane Entertainment Centre,Gloriana,"11,334 / 11,334","$956,505"
"February 6, 2010",Sydney,Australia,Acer Arena,Gloriana,"27,030 / 27,030","$2,030,640"
"February 7, 2010",Sydney,Australia,Acer Arena,Gloriana,"27,030 / 27,030","$2,030,640"
"February 8, 2010",Newcastle,Australia,Newcastle Entertainment Centre,Gloriana,"7,180 / 7,180","$555,396"
"February 10, 2010",Melbourne,Australia,Rod Laver Arena,Gloriana,"23,493 / 23,493","$1,627,510"
"February 11, 2010",Melbourne,Australia,Rod Laver Arena,Gloriana,"23,493 / 23,493","$1,627,510"
"February 12, 2010",Adelaide,Australia,Adelaide Entertainment Centre,Gloriana,"9,066 / 9,066","$585,352"
"February 17, 2010",Tokyo,Japan,Zepp Tokyo,—,—,—
"March 4, 2010",Tampa,United States,St. Pete Times Forum,"Gloriana
Kellie Pickler","13,861 / 13,861","$793,049"
"March 5, 2010",Orlando,United States,Amway Arena,"Gloriana
Kellie Pickler","11,101 / 11,101","$598,581"
"March 7, 2010",Sunrise,United States,BankAtlantic Center,"Gloriana
Kellie Pickler","13,453 / 13,453","$777,442"
"March 10, 2010",Austin,United States,Frank Erwin Center,"Gloriana
Kellie Pickler","11,928 / 11,928","$642,705"
"March 11, 2010",Dallas,United States,American Airlines Center,"Gloriana
Kellie Pickler","14,022 / 14,022","$742,954"
"March 12, 2010",Corpus Christi,United States,American Bank Center Arena,"Gloriana
Kellie Pickler","8,423 / 8,423","$501,169"
"March 18, 2010",Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler","30,360 / 30,360","$2,002,321"
"March 19, 2010",Philadelphia,United States,Wachovia Center,"Gloriana
Kellie Pickler","30,360 / 30,360","$2,002,321"
"March 20, 2010",Charlottesville,United States,John Paul Jones Arena,"Gloriana
Kellie Pickler","11,858 / 11,858","$664,305"
"March 26, 2010",Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler","29,125 / 29,125","$1,711,591"
"March 27, 2010",Auburn Hills,United States,The Palace of Auburn Hills,"Gloriana
Kellie Pickler","29,125 / 29,125","$1,711,591"
"March 28, 2010",Cincinnati,United States,U.S. Bank Arena,"Gloriana
Kellie Pickler","11,208 / 11,208","$645,592"
"March 31, 2010",Oklahoma City,United States,Ford Center,"Gloriana
Kellie Pickler","11,795 / 11,795","$675,184"
"April 1, 2010",Wichita,United States,Intrust Bank Arena,"Gloriana
Kellie Pickler","11,208 / 11,208","$610,801"
"April 2, 2010",Kansas City,United States,Sprint Center,"Gloriana
Kellie Pickler","13,781 / 13,781","$761,110"
"April 6, 2010",Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler","25,991 / 25,991","$1,497,135"
"April 7, 2010",Denver,United States,Pepsi Center,"Gloriana
Kellie Pickler","25,991 / 25,991","$1,497,135"
"April 10, 2010",Fresno,United States,Save Mart Center,"Gloriana
Kellie Pickler","11,706 / 11,706","$649,488"
"April 11, 2010",San Jose,United States,HP Pavilion,"Gloriana
Kellie Pickler","12,744 / 12,744","$716,726"
"April 15, 2010",Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","27,518 / 27,518","$1,736,197"
"April 16, 2010",Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","27,518 / 27,518","$1,736,197"
"April 29, 2010",Lexington,United States,Rupp Arena,"Gloriana
Kellie Pickler","17,966 / 17,966","$1,024,223"
"April 30, 2010",Columbia,United States,Colonial Life Arena,"Gloriana
Kellie Pickler","13,429 / 13,429","$755,475"
"May 1, 2010",Raleigh,United States,RBC Center,"Gloriana
Kellie Pickler","13,895 / 13,895","$752,303"
"May 6, 2010",Des Moines,United States,Wells Fargo Arena,"Gloriana
Kellie Pickler","13,264 / 13,264","$738,280"
"May 7, 2010",Saint Paul,United States,Xcel Energy Center,"Gloriana
Kellie Pickler","14,914 / 14,914","$846,111"
"May 8, 2010",Moline,United States,iWireless Center,"Gloriana
Kellie Pickler","10,641 / 10,641","$610,668"
"May 12, 2010",Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669"
"May 13, 2010",Newark,United States,Prudential Center,"Gloriana
Kellie Pickler","26,065 / 26,065","$1,742,669"
"May 14, 2010",Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529"
"May 15, 2010",Uniondale,United States,Nassau Veterans Memorial Coliseum,"Gloriana
Kellie Pickler","25,831 / 25,831","$1,713,529"
"May 20, 2010",Ottawa,Canada,Scotiabank Place,"Gloriana
Kellie Pickler","13,376 / 13,376","$873,206"
"May 21, 2010",Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690"
"May 22, 2010",Toronto,Canada,Air Canada Centre,"Gloriana
Kellie Pickler","30,458 / 30,458","$2,497,690"
"May 25, 2010",Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926"
"May 26, 2010",Houston,United States,Toyota Center,"Gloriana
Kellie Pickler","23,493 / 23,493","$1,290,926"
"May 29, 2010",Baton Rouge,United States,Tiger Stadium,—,—,—
"June 1, 2010","Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743"
"June 2, 2010","Washington, D.C.",United States,Verizon Center,"Gloriana
Kellie Pickler","27,290 / 27,290","$1,824,743"
"June 5, 2010",Foxborough,United States,Gillette Stadium,"Gloriana
Justin Bieber
Kellie Pickler","56,868 / 56,868","$3,726,157"
"June 19, 2010",Nassau,The Bahamas,Imperial Ballroom,"Gloriana
Kellie Pickler",—,—
"July 10, 2010",Cavendish,Canada,Cavendish Beach Festival Grounds,—,"35,000 / 35,000",—